"name","link"
"Путин и Лукашенко обсудили мирный процесс по Украине. Москва выступает против навязывания схем по урегулированию конфликта на Украине","https://news.mail.ru/politics/60634319/"
"Ульянов: Украина попыталась обвинить Россию в атаках на ЗАЭС","https://news.mail.ru/politics/60635462/"
"На территории посольства Украины в Москве подняли Знамя Победы","https://news.mail.ru/politics/60624358/"
"Крупнейший производитель вина стал собственностью государства","https://news.mail.ru/economics/60626705/"
"В США выигравшему в лотерею $1,3 млрд отказались выдать деньги","https://news.mail.ru/society/60622852/"
"Умер американский актер и спортсмен О. Джей Симпсон","https://sportmail.ru/article/american-football/60631873/"
"В Швейцарии призвали к отмене принятых вне ООН санкций","https://news.mail.ru/incident/60634321/"
"В Харьковской области объявили принудительную эвакуацию","https://news.mail.ru/incident/60630128/"
"CNN узнал детали плана Трампа по Украине","https://news.mail.ru/politics/60628698/"
"Жители Орска показали, как выглядят их дома после наводнения","https://news.mail.ru/incident/60626856/"
"ФСБ рассекретила архив о фальсификации «Катынского дела»","https://news.mail.ru/society/60628784/"
